"filename", "language", "JSON", "YAML", "Dart", "HTML", "XML", "Properties", "Swift", "Markdown", "Groovy", "C++", "comment", "blank", "total"
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/LandingPage.dart", "Dart", 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 19, 292
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/LoadingPage.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/MainApp.dart", "Dart", 0, 0, 832, 0, 0, 0, 0, 0, 0, 0, 36, 136, 1004
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/QrCodeWidget.dart", "Dart", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 2, 24, 220
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/QuestionnairePage.dart", "Dart", 0, 0, 1216, 0, 0, 0, 0, 0, 0, 0, 104, 55, 1375
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/RootPage.dart", "Dart", 0, 0, 481, 0, 0, 0, 0, 0, 0, 0, 50, 37, 568
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/WifiNetworkListPage.dart", "Dart", 0, 0, 2126, 0, 0, 0, 0, 0, 0, 0, 85, 116, 2327
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/models/Comments.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/models/FixedData.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 13, 14, 113
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/models/QuestionnaireRelatedClasses.dart", "Dart", 0, 0, 390, 0, 0, 0, 0, 0, 0, 0, 2, 61, 453
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/models/SecurityModel.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/lib/models/WifiModel.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 8, 47
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/package-lock.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/pubspec.yaml", "YAML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 44, 16, 97
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/web/index.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 18, 11, 78
"/home/numan947/Main/Research/Android-Wifi-QR/wifi_qr_survey_app/web/manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 321, 37, 6086, 49, 125, 8, 12, 13, 81, 1, 472, 583, 7788
